# WoW API Quick Reference (1799 functions)
Format: FunctionName | signature | description
AddOrDelMute | AddOrDelMute("unit") or AddOrDelMute("name") | Adds or removes a character from the voice mute list. Adds the character to the list if he/she is not already on it; rem
AddOrRemoveFriend | AddOrRemoveFriend("name", "note") | Adds the named character to the friends list, or removes the character if already in the friends list
AddPreviewTalentPoints | AddPreviewTalentPoints(tabIndex, talentIndex, points, isPet, talentGroup) | Spends (or unspends) talent points in the Talent UI's preview mode
AddQuestWatch | AddQuestWatch(questIndex) | Adds a quest to the objectives tracker
AddTrackedAchievement | AddTrackedAchievement(id) | Adds an achievement to the objectives tracker UI
AddTradeMoney | AddTradeMoney() | Adds the money currently on the cursor to the trade window
ApplyBarberShopStyle | ApplyBarberShopStyle() | Purchases the selected barber shop style changes. Does not exit the barber shop session, so further changes are still al
ArenaTeam_GetTeamSizeID | teamID = ArenaTeam_GetTeamSizeID(teamSize) | Converts an arena team size to the appropriate numeric arena team identifier
ArenaTeamDisband | ArenaTeamDisband(team) | Disbands an arena team. Only has effect if the player is captain of the given team.
ArenaTeamInviteByName | ArenaTeamInviteByName(team, "name") | Invites a character to one of the player's arena teams
ArenaTeamLeave | ArenaTeamLeave(team) | Leaves an arena team
ArenaTeamRoster | ArenaTeamRoster(team) | Requests arena team roster information from the server. Does not return information directly: the `ARENA_TEAM_ROSTER_UPD
ArenaTeamSetLeaderByName | ArenaTeamSetLeaderByName(team, "name") | Promotes an arena team member to team captain. Only has effect if the player is captain of the given team.
ArenaTeamUninviteByName | ArenaTeamUninviteByName(team, "name") | Removes a member from an arena team
AscendStop | AscendStop() | Stops movement initiated by `JumpOrAscendStart`. Used by the `JUMP` binding, which also controls ascent when swimming or
assert | value = assert(condition, "message") | Causes a Lua error if a condition is failed
AssistUnit | AssistUnit("unit") or AssistUnit("name") | Targets the unit targeted by another unit
AttackTarget | AttackTarget() | Begins auto-attack against the player's current target. (If the "Auto Attack/Auto Shot" option is turned on, also begins
AutoEquipCursorItem | AutoEquipCursorItem() | Equips the item on the cursor. The item is automatically equipped in the first available slot in which it fits. To equip
AutoLootMailItem | AutoLootMailItem(mailID) | Automatically takes any attached items and money from a mail. If the mail does not have body text (which can be saved as
AutoStoreGuildBankItem | AutoStoreGuildBankItem(tab, slot) | Withdraws the item(s) from a slot in the guild bank, automatically adding to the player's bags
BankButtonIDToInvSlotID | inventoryID = BankButtonIDToInvSlotID(buttonID [, isBag]) | Returns the `inventoryID` corresponding to a bank item or bag slot
BarberShopReset | BarberShopReset() | Resets barber shop options to the currently worn styles. Changes the underlying data (and thus the character's appearanc
BindEnchant | BindEnchant() | Confirms enchanting an item (when the item will become soulbound as a result). Usable following the `BIND_ENCHANT` event
BNConnected | isOnline = BNConnected() | Returns whether or not the player is connected to Battle.net
BNCreateConversation | result = BNCreateConversation(presenceID_1, presenceID_2) | Create a conversation between you and two friends
BNFeaturesEnabled | isEnabled = BNFeaturesEnabled() | Returns whether or not RealID services are disabled
BNGetConversationInfo | type = BNGetConversationInfo(channel) | Returns information about an existing battle.net conversation
BNGetConversationMemberInfo | presenceID, unknown, displayName = BNGetConversationMemberInfo(channel, memberIndex) | Returns information about a member of a battle.net conversation
BNGetFOFInfo | presenceID, givenName, surname, isFriend = BNGetFOFInfo(presenceID, mutual, non-mutual, index) | Returns information about the specified friend of a RealID friend
BNGetFriendInfo | presenceID, givenName, surname, toonName, toonID, client, isOnline, lastOnline, isAFK, isDND, messageText, noteText, isFriend, unknown = BNGetFriendInfo(friendIndex) | Returns information about a RealID friend by index
BNGetFriendInfoByID | presenceID, givenName, surname, toonName, toonID, client, isOnline, lastOnline, isAFK, isDND, messageText, noteText, isFriend, unknown = BNGetFriendInfoByID(presenceID) | Returns information about a RealID friend
BNGetFriendToonInfo | unknown, toonName, client, realmName, faction, race, class, unknown, zoneName, level, gameText, broadcastText, broadcastTime = BNGetFriendToonInfo(friendIndex, toonIndex) | Returns information about a particular online toon tied to a RealID friend
BNGetInfo | unknown, unknown, broadcastText, bnetAFK, bnetDND = BNGetInfo() | Returns information about the player's RealID settings
BNGetMatureLanguageFilter | isEnabled = BNGetMatureLanguageFilter() | Returns boolean for the Mature Language Filter option's state.
BNGetMaxPlayersInConversation | count = BNGetMaxPlayersInConversation() | Returns the maximum number of realID friends you can have in one conversation
BNGetNumConversationMembers | memberCount = BNGetNumConversationMembers(channel) | Returns the number of members in a battle.net conversation
BNGetNumFriends | totalBNet, numBNetOnline = BNGetNumFriends() | Returns total number of RealID friends and currently online number of RealID friends
BNGetNumFriendToons | numToons = BNGetNumFriendToons(friendIndex) | Returns the number of online toons for a friend
BNGetSelectedFriend | friendIndex = BNGetSelectedFriend() | Returns the index of the selected user on your friend's list
BNGetToonInfo | unknown, toonName, client, realmName, realmID, faction, race, class, unknown, zoneName, level, gameText, broadcastText, broadcastTime = BNGetToonInfo(presenceID) | Returns information about the active toon tied to a RealID friend
BNInviteToConversation | BNInviteToConversation(channel, presenceID) | Invite a friend into an existing conversation
BNIsSelf | isSelf = BNIsSelf(presenceID) | Returns whether or not the presence ID is the one of the player
BNSetCustomMessage | BNSetCustomMessage("broadcastText") | Sets the player's current RealID broadcast message.
BNSetFriendNote | BNSetFriendNote(presenceID, "note") | Changes the private note for a RealID friend
BNSetMatureLanguageFilter | BNSetMatureLanguageFilter(enabled) | Sets the Mature Language Filter option
BuybackItem | BuybackItem(index) | Repurchases an item recently sold to a vendor
BuyGuildBankTab | BuyGuildBankTab() | Purchases the next available guild bank tab
BuyGuildCharter | BuyGuildCharter("guildName") | Purchases a guild charter. Usable if the player is interacting with a guild registrar (i.e. between the `GUILD_REGISTRAR
BuyMerchantItem | BuyMerchantItem(index, quantity) | Purchases an item available from a vendor
BuyStableSlot | BuyStableSlot() | Purchases the next available stable slot, without confirmation. Only available while interacting with a Stable Master NP
BuyTrainerService | BuyTrainerService(index) | Purchases an ability or recipe available from a trainer
CalculateAuctionDeposit | deposit = CalculateAuctionDeposit(runTime) | Returns the deposit amount for the item currently being set up for auction. Only returns useful information once an item
CalendarAddEvent | CalendarAddEvent() | Saves the event recently created (and selected for editing) to the calendar. Until this function is called, an event cre
CalendarCanAddEvent | canAdd = CalendarCanAddEvent() | Returns whether the player can add an event to the calendar
CalendarCanSendInvite | canInvite = CalendarCanSendInvite() | Returns whether the player can invite others to a calendar event
CalendarCloseEvent | CalendarCloseEvent() | Deselects (ends viewing/editing on) an event. After calling this function, results of attempting to query or change even
CalendarContextDeselectEvent | CalendarContextDeselectEvent() | Clears the event selection used only for `CalendarContext` functions. The selection state cleared by this function is us
CalendarContextEventCanComplain | canReport = CalendarContextEventCanComplain([monthOffset,] day, index) | Returns whether the player can report an event invitation as spam. If all arguments are omitted, uses the event selected
CalendarContextEventCanEdit | canEdit = CalendarContextEventCanEdit([monthOffset,] day, index) | Returns whether the player can edit an event
CalendarContextEventClipboard | canPaste = CalendarContextEventClipboard() | Returns whether the player can paste an event
CalendarContextEventComplain | CalendarContextEventComplain([monthOffset,] day, index) | Reports an event invitation as spam
CalendarContextEventCopy | CalendarContextEventCopy([monthOffset,] day, index) | Copies an event for later pasting
CalendarContextEventGetCalendarType | calendarType = CalendarContextEventGetCalendarType([monthOffset,] day, index) | Returns the type of a calendar event. If all arguments are omitted, uses the event selected by `CalendarContextSelectEve
CalendarContextEventPaste | CalendarContextEventPaste(monthOffset, day) | Pastes a copied event into a given date. Does nothing if no event has been copied via `CalendarContextEventCopy`.
CalendarContextEventRemove | CalendarContextEventRemove([monthOffset,] day, index) | Deletes an event from the calendar
CalendarContextEventSignUp | CalendarContextEventSignUp([monthOffset,] day, index) | Signs the player up for a guild event
CalendarContextGetEventIndex | monthOffset, day, index = CalendarContextGetEventIndex() | Returns the month, day, and index of the event selection used only for `CalendarContext` functions. The selection state 
CalendarContextInviteAvailable | CalendarContextInviteAvailable([monthOffset,] day, index) | Accepts an event invitation
CalendarContextInviteDecline | CalendarContextInviteDecline([monthOffset,] day, index) | Declines an event invitation
CalendarContextInviteIsPending | pendingInvite = CalendarContextInviteIsPending([monthOffset,] day, index) | Returns whether the player has been invited to an event and not yet responded
CalendarContextInviteModeratorStatus | modStatus = CalendarContextInviteModeratorStatus([monthOffset,] day, index) | Returns the player's moderator status for an event
CalendarContextInviteRemove | CalendarContextInviteRemove([monthOffset,] day, index) | Removes an invitation from the player's calendar or removes the player from a guild event's signup list
CalendarContextInviteStatus | inviteStatus = CalendarContextInviteStatus([monthOffset,] day, index) | Returns the player's invite status for an event
CalendarContextInviteType | inviteType = CalendarContextInviteType([monthOffset,] day, index) | Returns the invite type for an event
CalendarContextSelectEvent | CalendarContextSelectEvent([monthOffset,] day, index) | Selects an event for use only with other `CalendarContext` functions. The selection state set by this function is used o
CalendarDefaultGuildFilter | minLevel, maxLevel, rank = CalendarDefaultGuildFilter() | Returns default options for the guild member Mass Invite filter
CalendarEventAvailable | CalendarEventAvailable() | Accepts invitation to the selected calendar event. Only applies to player-created events and invitations sent by other p
CalendarEventCanEdit | canEdit = CalendarEventCanEdit() | Returns whether the player can edit the selected calendar event
CalendarEventCanModerate | canModerate = CalendarEventCanModerate(index) | Returns whether an event invitee can be granted moderator authority
CalendarEventClearAutoApprove | CalendarEventClearAutoApprove() | Disables the auto-approve feature (currently unused) for the selected calendar event
CalendarEventClearLocked | CalendarEventClearLocked() | Unlocks the selected calendar event. Locked events do not allow invitees to respond or guild members to sign up, but can
CalendarEventClearModerator | CalendarEventClearModerator(index) | Removes moderator status from a character on the selected event's invite/signup list. Moderators can change the status o
CalendarEventDecline | CalendarEventDecline() | Declines invitation to the selected calendar event. Only applies to player-created events and invitations sent by other 
CalendarEventGetCalendarType | calendarType = CalendarEventGetCalendarType() | Returns the type of the selected calendar event
CalendarEventGetInvite | name, level, className, classFileName, inviteStatus, modStatus, inviteIsMine, inviteType = CalendarEventGetInvite(index) | Returns information about an entry in the selected event's invite/signup list
CalendarEventGetInviteResponseTime | weekday, month, day, year, hour, minute = CalendarEventGetInviteResponseTime(index) | Returns the time at which a character on the selected event's invite/signup list responded. Returns all zeros if the cha
CalendarEventGetInviteSortCriterion | criterion, reverse = CalendarEventGetInviteSortCriterion() | Returns the current sort mode for the event invite/signup list
CalendarEventGetNumInvites | numInvites = CalendarEventGetNumInvites() | Returns the number of characters on the selected calendar event's invite/signup list
CalendarEventGetRepeatOptions | ... = CalendarEventGetRepeatOptions() | Returns a list of localized event repetition option labels (currently unused)
CalendarEventGetSelectedInvite | index = CalendarEventGetSelectedInvite() | Returns the index of the selected entry on the selected event's invite/signup list. In the current default UI, selection
CalendarEventGetStatusOptions | ... = CalendarEventGetStatusOptions() | Returns a list of localized invite status labels
CalendarEventGetTextures | name, icon, expansion = CalendarEventGetTextures(eventType) | Returns a list of instance names and icons for dungeon or raid events
CalendarEventGetTypes | ... = CalendarEventGetTypes() | Returns a list of event display style labels
CalendarEventHasPendingInvite | pendingInvite = CalendarEventHasPendingInvite() | Returns whether the player has been invited to the selected event and not yet responded
CalendarEventHaveSettingsChanged | settingsChanged = CalendarEventHaveSettingsChanged() | Returns whether the selected event has unsaved changes
CalendarEventInvite | CalendarEventInvite("name") | Attempts to invite a character to the selected event. If successful, the `CALENDAR_UPDATE_INVITE_LIST` event fires indic
CalendarEventIsModerator | isModerator = CalendarEventIsModerator() | Returns whether the player has moderator status for the selected calendar event. Also returns true if the player is the 
CalendarEventRemoveInvite | CalendarEventRemoveInvite(index) | Removes a character from the selected event's invite/signup list. Cannot be used to remove the event's creator (fires a 
CalendarEventSelectInvite | CalendarEventSelectInvite(index) | Selects an entry in the selected event's invite/signup list. In the current default UI, selection behavior in the invite
CalendarEventSetAutoApprove | CalendarEventSetAutoApprove() | Enables the auto-approve feature (currently unused) for the selected calendar event
CalendarEventSetDate | CalendarEventSetDate(month, day, year) | Changes the scheduled date of the selected calendar event
CalendarEventSetLocked | CalendarEventSetLocked() | Locks the selected calendar event. Locked events do not allow invitees to respond or guild members to sign up, but can s
CalendarEventSetLockoutDate | CalendarEventSetLockoutDate(month, day, year) | Changes the lockout date associated with the selected event (currently unused). This feature is not enabled in the curre
CalendarEventSetLockoutTime | CalendarEventSetLockoutTime(hour, minute) | Changes the lockout time associated with the selected event (currently unused). This feature is not enabled in the curre
CalendarEventSetModerator | CalendarEventSetModerator(index) | Grants moderator status to a character on the selected event's invite/signup list. Moderators can change the status of c
CalendarEventSetRepeatOption | CalendarEventSetRepeatOption(title) | Changes the repetition option for the selected event (currently unused). This feature is not enabled in the current vers
CalendarEventSetSize | CalendarEventSetSize(size) | Changes the maximum number of invites/signups for the selected event (currently unused). This feature is not enabled in 
CalendarEventSetStatus | CalendarEventSetStatus(index, inviteStatus) | Sets the status of a character on the selected event's invite/signup list
CalendarEventSetTextureID | CalendarEventSetTextureID(index) | Changes the raid or dungeon instance for the selected event. Only applicable if the event's `eventType` is set to 1 or 2
CalendarEventSetTime | CalendarEventSetTime(hour, minute) | Changes the scheduled time of the selected event
CalendarEventSetTitle | CalendarEventSetTitle("title") | Changes the title for the selected event
CalendarEventSetType | CalendarEventSetType(eventType) | Changes the display type of the selected event
CalendarEventSignUp | CalendarEventSignUp() | Signs the player up for the selected calendar event. Only applies to guild events; has no effect if called when the curr
CalendarEventSortInvites | CalendarEventSortInvites("criterion", reverse) | Sorts the event invite/signup list. Does not cause the list to automatically remain sorted; e.g. if sorted by status and
CalendarGetAbsMonth | month, year, numDays, firstWeekday = CalendarGetAbsMonth(month, year) | Returns date information for a given month and year. Note: This function is broken in WoW 3.1.1, but is expected to work
CalendarGetDate | weekday, month, day, year = CalendarGetDate() | Returns the current date (in the server's time zone). Only returns valid information after the `PLAYER_LOGIN` event has 
CalendarGetDayEvent | title, hour, minute, calendarType, sequenceType, eventType, texture, modStatus, inviteStatus, invitedBy, difficulty, inviteType = CalendarGetDayEvent(monthOffset, day, index) | Returns information about a calendar event on a given day. Information can only be retrieved for events which might be v
CalendarGetEventIndex | monthOffset, day, index = CalendarGetEventIndex() | Returns the month, day, and index of the selected calendar event
CalendarGetEventInfo | title, description, creator, eventType, repeatOption, maxSize, textureIndex, weekday, month, day, year, hour, minute, lockoutWeekday, lockoutMonth, lockoutDay, lockoutYear, lockoutHour, lockoutMinute, locked, autoApprove, pendingInvite, inviteStatus, inviteType, calendarType = CalendarGetEventInfo() | Returns information about the selected calendar event (for player/guild events)
CalendarGetFirstPendingInvite | index = CalendarGetFirstPendingInvite(monthOffset, day) | Returns the index of the first invitation on a given day to which the player has not responded
CalendarGetHolidayInfo | name, description, texture = CalendarGetHolidayInfo(monthOffset, day, index) | Returns additional information about a holiday event. Information can only be retrieved for events which might be visibl
CalendarGetMaxCreateDate | weekday, month, day, year = CalendarGetMaxCreateDate() | Returns the latest date for which events may be scheduled. Currently, events can only be created up to one year from the
CalendarGetMaxDate | weekday, month, day, year = CalendarGetMaxDate() | Returns the latest date usable in the calendar system. This function currently always returns December 31st, 2030 as the
CalendarGetMinDate | weekday, month, day, year = CalendarGetMinDate() | Returns the earliest date usable in the calendar system. This function currently returns November 24th, 2004 as the mini
CalendarGetMinHistoryDate | weekday, month, day, year = CalendarGetMinHistoryDate() | Returns the earliest date for which information about past player events is available. Applies to events created by the 
CalendarGetMonth | month, year, numDays, firstWeekday = CalendarGetMonth([monthOffset]) | Returns information about a calendar month
CalendarGetMonthNames | ... = CalendarGetMonthNames() | Returns a list of localized month names
CalendarGetNumDayEvents | numEvents = CalendarGetNumDayEvents(monthOffset, day) | Returns the number of calendar events on a given day
CalendarGetNumPendingInvites | numInvites = CalendarGetNumPendingInvites() | Returns the number of calendar invitations to which the player has yet to respond
CalendarGetRaidInfo | title, calendarType, raidID, hour, minute, difficulty = CalendarGetRaidInfo(monthOffset, day, index) | Returns information about a raid lockout or scheduled raid reset event. Information can only be retrieved for events whi
CalendarGetWeekdayNames | ... = CalendarGetWeekdayNames() | Returns a list of localized weekday names
CalendarIsActionPending | isPending = CalendarIsActionPending() | Returns whether an update to calendar information is in progress. Returns true while the client is synchronizing its cal
CalendarMassInviteArenaTeam | CalendarMassInviteArenaTeam(index) | Repopulates the current event's invite list with members of one of the player's arena teams. Clears any invites already 
CalendarMassInviteGuild | CalendarMassInviteGuild(minLevel, maxLevel, rank) | Repopulates the selected event's invite list with members of the player's guild. Clears any invites already listed. Can 
CalendarNewEvent | CalendarNewEvent() | Creates a new event and selects it for viewing/editing
CalendarNewGuildAnnouncement | CalendarNewGuildAnnouncement() | Creates a new guild announcement and selects it for viewing/editing. Guild announcements are visible to all guild member
CalendarNewGuildEvent | CalendarNewGuildEvent() | Creates a new guild event and selects it for viewing/editing. Guild events are visible to all guild members and allow me
CalendarOpenEvent | CalendarOpenEvent(monthOffset, day, index) | Selects a calendar event for viewing/editing
CalendarRemoveEvent | CalendarRemoveEvent() | Removes the selected event invitation from the player's calendar or removes the player from the selected guild event's s
CalendarSetAbsMonth | CalendarSetAbsMonth(month [, year]) | Set's the calendar's month to an absolute date
CalendarSetMonth | CalendarSetMonth(monthOffset) | Sets the calendar's month relative to its current month
CalendarUpdateEvent | CalendarUpdateEvent() | Saves changes made to the selected event. Until this function is called, changes made to an event will not be saved -- t
CallCompanion | CallCompanion("type", index) | Summons a non-combat pet or mount.
CameraOrSelectOrMoveStart | CameraOrSelectOrMoveStart() | Begins camera movement or selection (equivalent to left-clicking in the 3-D world). After calling this function (i.e. wh
CameraOrSelectOrMoveStop | CameraOrSelectOrMoveStop(isSticky) | Ends action initiated by `CameraOrSelectOrMoveStart`. After calling this function (i.e. releasing the left mouse button)
CameraZoomIn | CameraZoomIn(distance) | Zooms the camera in by a specified distance.
CameraZoomOut | CameraZoomOut(distance) | Zooms the camera out by a specified distance.
CanAlterSkin | canAlter = CanAlterSkin() | Lets you check if the player can change their skin color. Returns true if the player can change their skin color while u
CanCancelAuction | canCancel = CanCancelAuction(index) | Returns whether one of the player's auctions can be canceled. Generally, non-cancelable auctions are those which have co
CancelAreaSpiritHeal | CancelAreaSpiritHeal() | Declines the next upcoming periodic resurrection from a battleground spirit healer. Usable in response to the `AREA_SPIR
CancelAuction | CancelAuction(index) | Cancels an auction created by the player. When canceling an auction, the deposit amount is not refunded.
CancelBarberShop | CancelBarberShop() | Exits a barber shop session. Causes the player character to stand up, returning to the normal world, and fires the `BARB
CancelDuel | CancelDuel() | Cancels an ongoing duel, or declines an offered duel
CancelItemTempEnchantment | CancelItemTempEnchantment(slot) | Cancels a temporary item enchant
CancelLogout | CancelLogout() | Cancels a pending logout or quit. Only has effect if logout or quit is pending (following the `PLAYER_CAMPING` or `PLAYE
CancelPendingEquip | CancelPendingEquip(index) | Cancels equipping a bind-on-equip item. When the player attempts to equip a bind-on-equip item, the default UI displays 
CancelShapeshiftForm | CancelShapeshiftForm() | Cancels the current shapeshift form. Unlike other Shapeshift APIs, this function refers specifically to shapeshifting --
CancelSummon | CancelSummon() | Declines an offered summons. Usable between when the `CONFIRM_SUMMON` event fires (due to a summoning spell cast by anot
CancelTrade | CancelTrade() | Cancels a trade in progress. Can be used if either party has accepted the trade, but not once both have.
CancelTradeAccept | CancelTradeAccept() | Cancels the player's acceptance of a trade. If the player has accepted the trade but the target has not, reverts the pla
CancelUnitBuff | CancelUnitBuff("unit", index [, "filter"]) or CancelUnitBuff("unit", "name" [, "rank" [, "filter"]]) | Cancels a buff on the player
CanComplainChat | canComplain = CanComplainChat(lineID) | Returns whether a chat message can be reported as spam
CanComplainInboxItem | complain = CanComplainInboxItem(mailID) | Returns whether a mail can be reported as spam. Returns nil for messages from Game Masters or friends, as well as for me
CanEditGuildEvent | canEdit = CanEditGuildEvent() | Returns whether the player is allowed to edit guild-wide calendar events
CanEditGuildInfo | canEdit = CanEditGuildInfo() | Returns whether the player is allowed to edit the guild information text. This text appears when clicking the "Guild Inf
CanEditGuildTabInfo | canEdit = CanEditGuildTabInfo(tab) | Returns whether the player is allowed to edit a guild bank tab's information
CanEditMOTD | canEdit = CanEditMOTD() | Returns whether the player is allowed to edit the guild Message of the Day
CanEditOfficerNote | canEdit = CanEditOfficerNote() | Returns whether the player is allowed to edit guild officer notes
CanEditPublicNote | canEdit = CanEditPublicNote() | Returns whether the player is allowed to edit guild public notes
CanEjectPassengerFromSeat | canEject = CanEjectPassengerFromSeat(seat) | Returns whether the player can eject the occupant of a seat in the player's vehicle
CanExitVehicle | canExit = CanExitVehicle() | Returns whether the player is in a vehicle. Used in the default UI to determine whether to show the "Leave Vehicle" butt
CanGrantLevel | canGrant = CanGrantLevel("unit") | Returns whether the player can give levels to a Recruit-a-Friend partner
CanGuildBankRepair | canRepair = CanGuildBankRepair() | Returns whether the player is allowed to pay for repairs using guild bank funds
CanGuildDemote | canDemote = CanGuildDemote() | Returns whether the player is allowed to demote lower ranked guild members
CanGuildInvite | canInvite = CanGuildInvite() | Returns whether the player is allowed to invite new members to his or her guild
CanGuildPromote | canPromote = CanGuildPromote() | Returns whether the player is allowed to promote other guild members. The player may promote other members only up to th
CanGuildRemove | canRemove = CanGuildRemove() | Returns whether the player is allowed to remove members from his or her guild. The player may only remove lower ranked m
CanHearthAndResurrectFromArea | status = CanHearthAndResurrectFromArea() | Returns whether the player is in a world PvP zone offering an exit option.
CanInspect | canInspect = CanInspect("unit", showError) | Returns whether a unit can be inspected. Returns `nil` if the unit is out of inspect range, if the unit is an NPC, or if
CanJoinBattlefieldAsGroup | canGroupJoin = CanJoinBattlefieldAsGroup() | Returns whether the battleground for which the player is queueing supports joining as a group
CanMerchantRepair | canRepair = CanMerchantRepair() | Returns whether the vendor with whom the player is currently interacting can repair equipment
CanQueueForWintergrasp | canQueue = CanQueueForWintergrasp() | Returns whether the player can queue for Wintergrasp
CanSendAuctionQuery | canQuery, canMassQuery = CanSendAuctionQuery("list") | Returns whether the player can perform an auction house query. All auction query types are throttled, preventing abuse o
CanShowAchievementUI | canShow = CanShowAchievementUI() | Returns whether the Achievements UI should be enabled.
CanShowResetInstances | canResetInstances = CanShowResetInstances() | Returns whether the player can reset instances. Used to determine whether to display the "Reset Instance" option in the 
CanSignPetition | canSign = CanSignPetition() | Returns whether the player can sign the currently offered petition. Petitions can only be signed once per account, rathe
CanSummonFriend | canSummon = CanSummonFriend("name") or CanSummonFriend("unit") | Returns whether a unit can be summoned via Recruit-a-Friend. Indicates whether the target unit is currently summonable, 
CanSwitchVehicleSeat | canSwitch = CanSwitchVehicleSeat() | Returns whether the player can change vehicle seats. Tells you if the player can switch seats in general, whereas UnitVe
CanSwitchVehicleSeats | canSwitch = CanSwitchVehicleSeats() | Returns whether the player is in a vehicle with multiple seats
CanUseEquipmentSets | enabled = CanUseEquipmentSets() | Returns whether the player has enabled the equipment manager. Despite the name, this returns true when the player has en
CanViewOfficerNote | canView = CanViewOfficerNote() | Returns whether the player is allowed to view guild officer notes
CanWithdrawGuildBankMoney | canWithdraw = CanWithdrawGuildBankMoney() | Returns whether the player is allowed to withdraw money from the guild bank
CastPetAction | CastPetAction(index [, "unit"]) | Casts a pet action on a specific target
CastShapeshiftForm | CastShapeshiftForm(index) | Casts an ability on the stance/shapeshift bar
CastSpell | CastSpell(id, "bookType") | Casts a from the spellbook. Only protected (i.e. usable only by the Blizzard UI) if the given `id` corresponds to a spel
CastSpellByID | CastSpellByID(spellID [, "target"]) | Casts a spell specified by id (optionally on a specified unit). Only protected (i.e. usable only by the Blizzard UI) if 
CastSpellByName | CastSpellByName("name" [, "target"]) | Casts a spell specified by name (optionally on a specified unit). Only protected (i.e. usable only by the Blizzard UI) i
ceil | ceiling = ceil(x) | Returns the smallest integer larger than or equal to a number. Alias for the standard library function `math.ceil`.
ChangeActionBarPage | ChangeActionBarPage(page) | Changes the current action bar page
ChangeChatColor | ChangeChatColor("messageType", red, green, blue) | Changes the color of a message type in the chat windows. This change takes effect immediately.
ChannelBan | ChannelBan("channel", "fullname") | Bans a character from a chat channel. Has no effect unless the player is a moderator of the given channel
ChannelInvite | ChannelInvite("channel", "name") | Invites a character to join a chat channel
ChannelKick | ChannelKick("channel", "fullname") | Removes a player from the channel. Has no effect unless the player is a moderator of the given channel
ChannelModerator | ChannelModerator("channel", "fullname") | Grants a character moderator status in a chat channel. Has no effect unless the player is the owner of the given channel
ChannelMute | ChannelMute("channelName", "name") or ChannelMute(channelId, "name") | Grants a character ability to speak in a moderated chat channel
ChannelSilenceAll | ChannelSilenceAll("channelName", ["unit"] or ["name"]) or ChannelSilenceAll(channelId, ["unit"] or ["name"]) or ChannelSilenceAll(["channelName"] or [channelId], "unit") or ChannelSilenceAll(["channelName"] or [channelId], "name") | Silences a character for chat and voice on a channel
ChannelSilenceVoice | ChannelSilenceVoice("channelName", ["unit"] or ["name"]) or ChannelSilenceVoice(channelId, ["unit"] or ["name"]) or ChannelSilenceVoice(["channelName"] or [channelId], "unit") or ChannelSilenceVoice(["channelName"] or [channelId], "name") | Silences the given character for voice chat on the channel. Only a raid/party/battleground leader or assistant can silen
ChannelToggleAnnouncements | ChannelToggleAnnouncements("channel") | Enables or disables printing of join/leave announcements for a channel
ChannelUnban | ChannelUnban("channel", "fullname") | Lifts the ban preventing a character from joining a chat channel. Has no effect unless the player is a moderator of the 
ChannelUnmoderator | ChannelUnmoderator("channel", "fullname") | Revokes moderator status from a character on a chat channel. Has no effect unless the player is the owner of the given c
ChannelUnmute | ChannelUnmute("channelName", "name") or ChannelUnmute(channelId, "name") | Removes a character's ability to speak in a moderated chat channel
